datetime,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,temp,feelslike,humidity,precip,preciptype,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
2021-09-03,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Bike,69.8,69.8,58.6,0.009,rain,0.0,0.0,9.0,21.7,9.9,"Rain, Partially cloudy",rain
2021-09-04,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,None,72.3,72.3,60.9,0.0,none,0.0,0.0,8.9,0.9,9.8,Clear,clear-day
2021-09-05,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Sedan,None,72.0,72.0,76.5,0.002,rain,0.0,0.0,13.5,62.7,9.8,"Rain, Partially cloudy",rain
2021-09-06,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Taxi,None,76.7,76.5,64.6,0.028,rain,0.0,0.0,14.7,58.3,9.9,"Rain, Partially cloudy",rain
2021-09-07,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,None,Sedan,None,75.1,75.0,57.6,0.0,none,0.0,0.0,8.8,1.6,9.9,Clear,clear-day
2021-09-08,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Box Truck,Sedan,76.6,77.6,72.9,0.0,none,0.0,0.0,16.9,36.5,9.9,Partially cloudy,partly-cloudy-day
2021-09-09,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,None,Sedan,None,71.7,71.7,84.7,0.163,rain,0.0,0.0,9.2,63.8,9.7,"Rain, Partially cloudy",rain
2021-09-10,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Taxi,Sedan,71.7,71.7,57.1,0.009,rain,0.0,0.0,6.1,7.8,9.9,Rain,rain
2021-09-11,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,None,71.6,71.6,56.0,0.009,rain,0.0,0.0,12.8,11.3,9.9,Rain,rain
2021-09-12,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,75.1,75.7,67.0,0.0,none,0.0,0.0,15.6,3.2,9.9,Clear,clear-day
2021-09-13,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Sedan,None,79.2,80.3,64.9,0.174,rain,0.0,0.0,11.3,46.7,9.9,"Rain, Partially cloudy",rain
2021-09-14,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Box Truck,74.4,74.5,76.2,0.0,none,0.0,0.0,9.2,13.4,9.9,Clear,clear-day
2021-09-15,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,Pick-up Truck,78.6,80.3,74.7,0.0,none,0.0,0.0,9.3,23.6,9.9,Partially cloudy,partly-cloudy-day
2021-09-16,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,Sedan,Flat Bed,74.8,74.8,72.9,0.0,none,0.0,0.0,16.0,73.7,9.9,Partially cloudy,partly-cloudy-day
2021-09-17,0.0,0.0,0,0,0,0,0,0,Unspecified,None,Station Wagon/Sport Utility Vehicle,None,72.9,72.9,84.7,0.0,none,0.0,0.0,15.0,97.5,9.7,Overcast,cloudy
2021-09-18,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,Bike,77.4,78.3,70.5,0.027,rain,0.0,0.0,12.8,44.5,9.8,"Rain, Partially cloudy",rain
2021-09-19,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,73.5,73.5,57.7,0.0,none,0.0,0.0,8.1,2.5,9.9,Clear,clear-day
2021-09-20,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Flat Bed,71.1,71.1,64.7,0.0,none,0.0,0.0,9.2,28.0,9.9,Partially cloudy,partly-cloudy-day
